State Bank of India
Account Statement for Account No: 38291049281
Branch: KORAMANGALA 5TH BLOCK BANGALORE (01234)
IFSC Code: SBIN0001234
Statement Period: 01-Aug-2026 to 31-Aug-2026
Generated on: 31-Aug-2026 18:30:00 IST

Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
01-08-2026,02-08-2026,NEFT CR-HDFC N296250485376 RAZORPAY SETTLEMENT,,,"₹ 48,657.00",148657.00
03-08-2026,04-08-2026,CMS/RAZORPAY/CMS918273645012/PAYOUT,CMS918273645012,,"1,23,456.78 Cr",272113.78
05-08-2026,06-08-2026,RTGS CR-ICIC R260812345678 RAZORPAY SOFTWARE BANGALORE,,,"97,640.00",369753.78
08-08-2026,09-08-2026,UPI/CR/623456789012/PAYMENT/RAZORPAY/PAYOUT,623456789012,,"₹ 19,528.00 Cr",389281.78
10-08-2026,11-08-2026,CHG/SMS CHARGES Q2 2026,,59.00 Dr,,389222.78
12-08-2026,13-08-2026,NEFT-RAZORPAY-UTR2608M4N5O6-SETTLEMENT,UTR2608M4N5O6,,"₹ 4,882.00",394104.78
15-08-2026,16-08-2026,IMPS/P2M/624918273645/MERCHANT SETTLEMENT RAZORPAY,,,"29,292.00",423396.78
18-08-2026,19-08-2026,SETTLEMENT REVERSAL DEBIT RZP ADJ REV2608REV001,REV2608REV001,"5,000.00",,418396.78
20-08-2026,21-08-2026,NEFT CR-AXIS AX260876543210 RAZORPAY BATCH 1,,,"39,056.00",457452.78
22-08-2026,23-08-2026,CORRUPTED ROW INVALID AMOUNT TEST,INV001,,"NOT_A_VALID_AMOUNT",457452.78

